,h3,count,geometry
1790,88195da725fffff,1,"POLYGON ((-0.2665639751179519 51.64087202926041, -0.2732929565633763 51.63967462470444, -0.2745098238411861 51.6352016392405, -0.2689984992925673 51.63192632370637, -0.2622705887911524 51.63312376654799, -0.261052932006385 51.63759648662257, -0.2665639751179519 51.64087202926041))"
1791,88195da727fffff,4,"POLYGON ((-0.2622705887911524 51.63312376654799, -0.2689984992925673 51.63192632370637, -0.2702154936787163 51.62745311252212, -0.2647053668441149 51.62417760962955, -0.2579785270217249 51.62537509085524, -0.2567607434669338 51.62984803657393, -0.2622705887911524 51.63312376654799))"
1792,88195da729fffff,2,"POLYGON ((-0.2463776494709391 51.64446144648782, -0.2531063213884873 51.64326544011573, -0.2543246406884721 51.63879321124565, -0.248815077207987 51.63551725425237, -0.242087476492544 51.6367132991878, -0.2408683681676051 51.64118526253765, -0.2463776494709391 51.64446144648782))"
1793,88195da72dfffff,8,"POLYGON ((-0.258617082729502 51.64654120979501, -0.2653464452531396 51.64534452354724, -0.2665639751179519 51.64087202926041, -0.261052932006385 51.63759648662257, -0.2543246406884721 51.63879321124565, -0.2531063213884873 51.64326544011573, -0.258617082729502 51.64654120979501))"
1794,88195da731fffff,2,"POLYGON ((-0.2335111012566551 51.62121576691732, -0.2402365603637101 51.62001964456022, -0.2414552589594395 51.61554673898625, -0.2359492865709989 51.61227022150253, -0.2292248978703728 51.61346638271784, -0.2280054112637552 51.61793902254323, -0.2335111012566551 51.62121576691732))"
1795,88195da733fffff,4,"POLYGON ((-0.2292248978703728 51.61346638271784, -0.2359492865709989 51.61227022150253, -0.237168111299461 51.60779709064793, -0.2316633351124423 51.60452038681786, -0.2249400165531205 51.60571658698954, -0.223720404151456 51.6101894520195, -0.2292248978703728 51.61346638271784))"
1796,88195da735fffff,9,"POLYGON ((-0.2457437293680974 51.62329597545571, -0.252469879069932 51.6220991737869, -0.2536877892449776 51.61762600256774, -0.2481803382508597 51.61434989864712, -0.2414552589594395 51.61554673898625, -0.2402365603637101 51.62001964456022, -0.2457437293680974 51.62329597545571))"
1797,88195da737fffff,14,"POLYGON ((-0.2414552589594395 51.61554673898625, -0.2481803382508597 51.61434989864712, -0.2493983748964322 51.60987650207122, -0.2438921204454423 51.60660021154028, -0.237168111299461 51.60779709064793, -0.2359492865709989 51.61227022150253, -0.2414552589594395 51.61554673898625))"
1798,88195da73bfffff,1,"POLYGON ((-0.2212806432252518 51.61913446583386, -0.2280054112637552 51.61793902254323, -0.2292248978703728 51.61346638271784, -0.223720404151456 51.6101894520195, -0.2169967065150306 51.61138493435617, -0.2157764323074377 51.61585730832973, -0.2212806432252518 51.61913446583386))"
1799,88195da73dfffff,2,"POLYGON ((-0.2377986272759528 51.62896473920248, -0.244525157054606 51.62776865560534, -0.2457437293680974 51.62329597545571, -0.2402365603637101 51.62001964456022, -0.2335111012566551 51.62121576691732, -0.2322917405944528 51.62568818139449, -0.2377986272759528 51.62896473920248))"
